Cites,Authors,Title,Language,Year,Field,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
178,"SL Stephens, JM Lydersen, BM Collins, DL Fry, ...",Historical and current landscape‐scale ponderosa pine and mixed conifer forest structure in the Southern Sierra Nevada,English,2015,Archaeology,…,Wiley Online Library,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/ES14-00379.1,"https://scholar.google.com/scholar?cites=96350722608429993&as_sdt=805&sciodt=0,3&hl=en",4,2/8/2025 16:41,,10.1890/ES14-00379.1,,,,,,,178,17.8,36,5,10,Many managers today are tasked with restoring forests to mitigate the potential for uncharacteristically severe fire. One challenge to this mandate is the lack of large‐scale …,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1890/ES14-00379.1,"https://scholar.google.com/scholar?q=related:qXvtwnhOVgEJ:scholar.google.com/&scioq=&hl=en&as_sdt=805&sciodt=0,3"
4,"Á Rodríguez Miranda, ...",Linear programming for the analysis and virtual recreation of historical events: the allocation of the artillery during the Siege of Bilbao in 1874,English,2021,Computer/Data Science,"… , 25 (12), 99 …",Universitat Politècnica de València,,"https://scholar.google.com/scholar?cites=1823392161756567651&as_sdt=805&sciodt=0,3&hl=en",55,2/8/2025 20:15,CITATION,,,,,,,,4,1,2,2,4,,https://riunet.upv.es/bitstream/handle/10251/169361/Rodriguez-MirandaFerreira-LopesMartin-Etxebarria%20-%20Linear%20programming%20for%20the%20analysis%20and%20virtua....pdf?sequence=1,"https://scholar.google.com/scholar?q=related:Y1i7p4L9TRkJ:scholar.google.com/&scioq=&hl=en&as_sdt=805&sciodt=0,3"
0,AM Palkovich,Arroyo Hondo Pueblo,English,2024,Archaeology,"… , and Bioarchaeology: Articulating 14th Century Life at …",Springer,https://link.springer.com/chapter/10.1007/978-3-031-56023-1_3,,28,2/8/2025 12:57,,10.1007/978-3-031-56023-1_3,,,,,,,0,0,0,1,1,"Abstract In the Northern Rio Grande, Arroyo Hondo was a major settlement that ushered in a new configuration of large, aggregated villages during the fourteenth century …",,"https://scholar.google.com/scholar?q=related:Ar_ndBjP1yYJ:scholar.google.com/&scioq=&hl=en&as_sdt=805&sciodt=0,3"
8,"Ž Tankosić, M Katsianis, A Sarris, ...",Cycladic or mainland? The prehistoric landscapes of southern Euboea,English,2017,Archaeology,"… , and Interaction in …",degruyter.com,https://www.degruyter.com/document/doi/10.1515/9781789201468-019/pdf?licenseType=restricted,"https://scholar.google.com/scholar?cites=8914825993502305211&as_sdt=805&sciodt=0,3&hl=en",36,2/8/2025 16:41,,10.1515/9781789201468-019,,,,,,,8,1,2,4,8,We present a first preliminary report on the prehistoric use of space in southern Euboea in an attempt to examine the way the landscape was populated and socially constructed during …,,"https://scholar.google.com/scholar?q=related:u6sfIQLTt3sJ:scholar.google.com/&scioq=&hl=en&as_sdt=805&sciodt=0,3"
0,"M Serino, D Elia, E Hasaki",1 The AGATHOCLES Project and Beyond: Archaeology of Gesture and Material Consciousness in Ceramic Studies,English,2024,Archaeology,"… , Crafting and Artisanal Networks in the …",degruyter.com,https://www.degruyter.com/document/doi/10.1515/9783111189635/pdf?licenseType=restricted#page=13,,10,2/8/2025 12:45,,10.1515/9783111189635,,,,,,,0,0,0,3,1,In Kant's quote above on how the gestures of hand is a window into the creative process of humans and on Miller's statement on how creation is a consciously dialectic process …,https://iris.unito.it/bitstream/2318/2027290/1/Serino_Elia_Hasaki_Intro.pdf,"https://scholar.google.com/scholar?q=related:ywZhgNDuQqUJ:scholar.google.com/&scioq=&hl=en&as_sdt=805&sciodt=0,3"
16,"D Hardy, H Lazrus, M Mendez, B Orlove, ...","Social vulnerability: social science perspectives on climate change, Part 1",English,2018,Social Science,"… , DC: USGCRP Social …",academia.edu,https://www.academia.edu/download/57980851/Vulnerability_-_SSCC_workshop_Part_1_4-9-2018.pdf,"https://scholar.google.com/scholar?cites=15215999606591732118&as_sdt=805&sciodt=0,3&hl=en",92,2/9/2025 10:40,PDF,,,,,,,,16,2.29,3,5,7,"Recent extreme weather events in the United States exemplify the uneven impacts of climate change on populations, even within relatively small geographic regions. Differential human …",https://www.academia.edu/download/57980851/Vulnerability_-_SSCC_workshop_Part_1_4-9-2018.pdf,"https://scholar.google.com/scholar?q=related:ljliPQYXKtMJ:scholar.google.com/&scioq=&hl=en&as_sdt=805&sciodt=0,3"
9,"S Fiske, K Hubacek, A Jorgenson, J Li, ...","Drivers and responses: social science perspectives on climate change, part 2",English,2018,Social Science,"… , DC: USGCRP Social …",researchgate.net,https://www.researchgate.net/profile/Andrew-Jorgenson-2/publication/324485208_DRIVERS_AND_RESPONSES_SOCIAL_SCIENCE_PERSPECTIVES_ON_CLIMATE_CHANGE_PART_2/links/5acfafb1a6fdcc8784118b13/DRIVERS-AND-RESPONSES-SOCIAL-SCIENCE-PERSPECTIVES-ON-CLIMATE-CHANGE-PART-2.pdf,"https://scholar.google.com/scholar?cites=6615290128020269286&as_sdt=805&sciodt=0,3&hl=en",110,2/9/2025 10:40,PDF,,,,,,,,9,1.29,2,5,7,"This paper assesses research from cultural anthropology, archaeology, geography, and sociology to define social science concepts relevant to climate change drivers and the …",https://www.researchgate.net/profile/Andrew-Jorgenson-2/publication/324485208_DRIVERS_AND_RESPONSES_SOCIAL_SCIENCE_PERSPECTIVES_ON_CLIMATE_CHANGE_PART_2/links/5acfafb1a6fdcc8784118b13/DRIVERS-AND-RESPONSES-SOCIAL-SCIENCE-PERSPECTIVES-ON-CLIMATE-CHANGE-PART-2.pdf,"https://scholar.google.com/scholar?q=related:5ujLdlI7zlsJ:scholar.google.com/&scioq=&hl=en&as_sdt=805&sciodt=0,3"
0,S ORTMAN,What the Old Ones Can Teach Us,English,2023,Humanities,"… , Education and American Indian Partnerships at …",books.google.com,https://books.google.com/books?hl=en&lr=&id=M-DwEAAAQBAJ&oi=fnd&pg=PA83&ots=Zgq6Rngia2&sig=OI7ORNhmeK1PoHALuq7Zn_qXD5o,,52,2/8/2025 16:41,,,,,,,,,0,0,0,1,2,"There are two important trends in US Southwest archaeology today. The first is a recognition, stimulated by passage of the Native American Graves Protection and …",https://www.researchgate.net/profile/Thomas-Windes/publication/374517733_Revisiting_the_Depopulation_of_the_Northern_Southwest_with_Dendrochronology_A_Changing_Perspective_with_New_Dates_from_Cedar_Mesa/links/652ec64e6725c324010ffa45/Revisiting-the-Depopulation-of-the-Northern-Southwest-with-Dendrochronology-A-Changing-Perspective-with-New-Dates-from-Cedar-Mesa.pdf#page=99,"https://scholar.google.com/scholar?q=related:kM1oI8GfnEcJ:scholar.google.com/&scioq=&hl=en&as_sdt=805&sciodt=0,3"
1,"P Barruezo-Vaquero, D Laguna-Palma, ...",On the integration of landscape archaeology within the framework of human ecodynamics–Some theoretical considerations,English,2020,Archaeology,… . Proceedings of the …,torrossa.com,https://www.torrossa.com/gs/resourceProxy?an=5334125&publisher=FZR707#page=355,"https://scholar.google.com/scholar?cites=17511829760414207467&as_sdt=805&sciodt=0,3&hl=en",158,2/9/2025 10:40,,,,,,,,,1,0.2,0,3,5,"The archaeology of'scapes' focuses on understanding how space shaped and was shaped by ancient people. Said differently, we study the interrelationship between humans and non …",,"https://scholar.google.com/scholar?q=related:602arGKEBvMJ:scholar.google.com/&scioq=&hl=en&as_sdt=805&sciodt=0,3"
2,S Renette,Defining Dalma: an incipient mountain identity?,English,2022,Archaeology,… . Revue pluridisciplinaire de préhistoire et de …,journals.openedition.org,https://journals.openedition.org/paleorient/1699,"https://scholar.google.com/scholar?cites=13475485031955357079&as_sdt=805&sciodt=0,3&hl=en",54,2/8/2025 17:05,HTML,,,,,,,,2,0.67,2,1,3,The Dalma archaeological culture of the northern Zagros has intrigued archaeologists for decades with a resurgence of interest as Dalma-related sherds are found at several sites …,https://journals.openedition.org/paleorient/1699,"https://scholar.google.com/scholar?q=related:l93KiT2KArsJ:scholar.google.com/&scioq=&hl=en&as_sdt=805&sciodt=0,3"
